customer_id,first_name,last_name,country,customer_segment,total_bookings,total_failed_payments,total_retries,total_anomalies,problematic_journeys,severity_score,severity_level,frequency_score,frequency_level,persistence_score,persistence_level,customer_risk_score,customer_risk_level,behavior_profile,primary_risk_driver,dimension_explanation,behavioral_signals,research_risk_signals,risk_explanation
C000013,Anthony,Wilson,United States,Premium,1,2,2,3,1,100.0,VERY_HIGH,40.0,HIGH,30.0,MODERATE,61.0,HIGH,FRICTION_PRONE_CUSTOMER,SEVERITY,Very high journey severity (score 100.00) | High problematic activity frequency (score 40.00) | Moderate persistence of problematic behavior (score 30.00),2 failed payment attempts | 2 payment retries | 3 detected journey anomalies | 1 problematic journey | 1 critical journey(s),HIGH_SEVERITY | REPEATED_PAYMENT_FAILURES | CRITICAL_JOURNEY,"Customer classified as HIGH with a risk score of 61.00. Primary risk dimension: SEVERITY. Severity=100.00, Frequency=40.00, Persistence=30.00. 2 failed payment attempts | 2 payment retries | 3 detected journey anomalies | 1 problematic journey | 1 critical journey(s)"
C000014,James,Charles,Saudi Arabia,Premium,1,1,1,0,0,30.0,MODERATE,16.25,MODERATE,0.0,NONE,16.88,LOW,NORMAL_CUSTOMER,SEVERITY,Moderate journey severity (score 30.00) | Moderate problematic activity frequency (score 16.25) | No persistent problematic behavior,1 failed payment attempts | 1 payment retries,NO_MAJOR_RISK_SIGNAL,"Customer classified as LOW with a risk score of 16.88. Primary risk dimension: SEVERITY. Severity=30.00, Frequency=16.25, Persistence=0.00. 1 failed payment attempts | 1 payment retries"
C000016,Amy,Duarte,Saudi Arabia,Premium,1,0,0,0,0,0.0,LOW,0.0,NONE,0.0,NONE,0.0,LOW,NORMAL_CUSTOMER,SEVERITY,Low journey severity (score 0.00) | No problematic activity frequency | No persistent problematic behavior,No major behavioral risk signals,NO_MAJOR_RISK_SIGNAL,"Customer classified as LOW with a risk score of 0.00. Primary risk dimension: SEVERITY. Severity=0.00, Frequency=0.00, Persistence=0.00. No major behavioral risk signals"
C000017,Jeffrey,Gutierrez,United Arab Emirates,Standard,3,0,0,0,0,0.0,LOW,0.0,NONE,0.0,NONE,0.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER,SEVERITY,Low journey severity (score 0.00) | No problematic activity frequency | No persistent problematic behavior,No major behavioral risk signals,NO_MAJOR_RISK_SIGNAL,"Customer classified as LOW with a risk score of 0.00. Primary risk dimension: SEVERITY. Severity=0.00, Frequency=0.00, Persistence=0.00. No major behavioral risk signals"
C000019,Lisa,Castro,United Arab Emirates,Premium,7,4,4,6,4,65.0,HIGH,11.43,LOW,82.86,VERY_HIGH,54.29,HIGH,FRICTION_PRONE_CUSTOMER,PERSISTENCE,High journey severity (score 65.00) | Low problematic activity frequency (score 11.43) | Very persistent problematic behavior (score 82.86),4 failed payment attempts | 4 payment retries | 6 detected journey anomalies | 4 problematic journeys,PERSISTENT_BEHAVIOR | REPEATED_PAYMENT_FAILURES | MULTIPLE_PROBLEMATIC_JOURNEYS,"Customer classified as HIGH with a risk score of 54.29. Primary risk dimension: PERSISTENCE. Severity=65.00, Frequency=11.43, Persistence=82.86. 4 failed payment attempts | 4 payment retries | 6 detected journey anomalies | 4 problematic journeys"
C000021,Linda,Smith,Pakistan,VIP,2,0,0,1,1,40.0,MODERATE,1.25,LOW,30.0,MODERATE,25.38,MEDIUM,NORMAL_CUSTOMER,SEVERITY,Moderate journey severity (score 40.00) | Low problematic activity frequency (score 1.25) | Moderate persistence of problematic behavior (score 30.00),1 detected journey anomaly | 1 problematic journey,NO_MAJOR_RISK_SIGNAL,"Customer classified as MEDIUM with a risk score of 25.38. Primary risk dimension: SEVERITY. Severity=40.00, Frequency=1.25, Persistence=30.00. 1 detected journey anomaly | 1 problematic journey"
C000022,Helen,Harris,Saudi Arabia,Standard,3,0,0,0,0,0.0,LOW,0.0,NONE,0.0,NONE,0.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER,SEVERITY,Low journey severity (score 0.00) | No problematic activity frequency | No persistent problematic behavior,No major behavioral risk signals,NO_MAJOR_RISK_SIGNAL,"Customer classified as LOW with a risk score of 0.00. Primary risk dimension: SEVERITY. Severity=0.00, Frequency=0.00, Persistence=0.00. No major behavioral risk signals"
C000023,Matthew,Campbell,Saudi Arabia,Standard,1,0,0,1,1,40.0,MODERATE,2.5,LOW,30.0,MODERATE,25.75,MEDIUM,NORMAL_CUSTOMER,SEVERITY,Moderate journey severity (score 40.00) | Low problematic activity frequency (score 2.50) | Moderate persistence of problematic behavior (score 30.00),1 detected journey anomaly | 1 problematic journey,NO_MAJOR_RISK_SIGNAL,"Customer classified as MEDIUM with a risk score of 25.75. Primary risk dimension: SEVERITY. Severity=40.00, Frequency=2.50, Persistence=30.00. 1 detected journey anomaly | 1 problematic journey"
C000025,Susan,Parker,United Arab Emirates,Premium,2,0,0,0,0,0.0,LOW,0.0,NONE,0.0,NONE,0.0,LOW,NORMAL_CUSTOMER,SEVERITY,Low journey severity (score 0.00) | No problematic activity frequency | No persistent problematic behavior,No major behavioral risk signals,NO_MAJOR_RISK_SIGNAL,"Customer classified as LOW with a risk score of 0.00. Primary risk dimension: SEVERITY. Severity=0.00, Frequency=0.00, Persistence=0.00. No major behavioral risk signals"
C000026,Matthew,Hunter,United States,Standard,1,0,0,0,0,0.0,LOW,0.0,NONE,0.0,NONE,0.0,LOW,NORMAL_CUSTOMER,SEVERITY,Low journey severity (score 0.00) | No problematic activity frequency | No persistent problematic behavior,No major behavioral risk signals,NO_MAJOR_RISK_SIGNAL,"Customer classified as LOW with a risk score of 0.00. Primary risk dimension: SEVERITY. Severity=0.00, Frequency=0.00, Persistence=0.00. No major behavioral risk signals"
C000027,Christopher,Nguyen,Saudi Arabia,Standard,1,0,0,0,0,0.0,LOW,0.0,NONE,0.0,NONE,0.0,LOW,NORMAL_CUSTOMER,SEVERITY,Low journey severity (score 0.00) | No problematic activity frequency | No persistent problematic behavior,No major behavioral risk signals,NO_MAJOR_RISK_SIGNAL,"Customer classified as LOW with a risk score of 0.00. Primary risk dimension: SEVERITY. Severity=0.00, Frequency=0.00, Persistence=0.00. No major behavioral risk signals"
C000028,Colin,Smith,Pakistan,Premium,2,2,2,0,0,30.0,MODERATE,16.25,MODERATE,0.0,NONE,16.88,LOW,NORMAL_CUSTOMER,SEVERITY,Moderate journey severity (score 30.00) | Moderate problematic activity frequency (score 16.25) | No persistent problematic behavior,2 failed payment attempts | 2 payment retries,REPEATED_PAYMENT_FAILURES,"Customer classified as LOW with a risk score of 16.88. Primary risk dimension: SEVERITY. Severity=30.00, Frequency=16.25, Persistence=0.00. 2 failed payment attempts | 2 payment retries"
C000029,Melanie,Jennings,Pakistan,Standard,3,0,0,2,2,40.0,MODERATE,1.67,LOW,65.67,HIGH,36.2,MEDIUM,NORMAL_CUSTOMER,PERSISTENCE,Moderate journey severity (score 40.00) | Low problematic activity frequency (score 1.67) | Persistent problematic behavior (score 65.67),2 detected journey anomalies | 2 problematic journeys,PERSISTENT_BEHAVIOR | MULTIPLE_PROBLEMATIC_JOURNEYS,"Customer classified as MEDIUM with a risk score of 36.20. Primary risk dimension: PERSISTENCE. Severity=40.00, Frequency=1.67, Persistence=65.67. 2 detected journey anomalies | 2 problematic journeys"
C000031,Lindsay,Ramsey,Pakistan,Premium,1,1,1,0,0,30.0,MODERATE,16.25,MODERATE,0.0,NONE,16.88,LOW,NORMAL_CUSTOMER,SEVERITY,Moderate journey severity (score 30.00) | Moderate problematic activity frequency (score 16.25) | No persistent problematic behavior,1 failed payment attempts | 1 payment retries,NO_MAJOR_RISK_SIGNAL,"Customer classified as LOW with a risk score of 16.88. Primary risk dimension: SEVERITY. Severity=30.00, Frequency=16.25, Persistence=0.00. 1 failed payment attempts | 1 payment retries"
C000033,Amanda,Johnson,Saudi Arabia,Standard,1,0,0,0,0,0.0,LOW,0.0,NONE,0.0,NONE,0.0,LOW,NORMAL_CUSTOMER,SEVERITY,Low journey severity (score 0.00) | No problematic activity frequency | No persistent problematic behavior,No major behavioral risk signals,NO_MAJOR_RISK_SIGNAL,"Customer classified as LOW with a risk score of 0.00. Primary risk dimension: SEVERITY. Severity=0.00, Frequency=0.00, Persistence=0.00. No major behavioral risk signals"
C000035,Nicholas,Rivera,Other,Standard,2,2,2,3,2,65.0,HIGH,20.0,MODERATE,79.0,VERY_HIGH,55.7,HIGH,FRICTION_PRONE_CUSTOMER,PERSISTENCE,High journey severity (score 65.00) | Moderate problematic activity frequency (score 20.00) | Very persistent problematic behavior (score 79.00),2 failed payment attempts | 2 payment retries | 3 detected journey anomalies | 2 problematic journeys,PERSISTENT_BEHAVIOR | REPEATED_PAYMENT_FAILURES | MULTIPLE_PROBLEMATIC_JOURNEYS,"Customer classified as HIGH with a risk score of 55.70. Primary risk dimension: PERSISTENCE. Severity=65.00, Frequency=20.00, Persistence=79.00. 2 failed payment attempts | 2 payment retries | 3 detected journey anomalies | 2 problematic journeys"
C000036,Andrea,Morgan,United States,Premium,1,0,0,0,0,0.0,LOW,0.0,NONE,0.0,NONE,0.0,LOW,NORMAL_CUSTOMER,SEVERITY,Low journey severity (score 0.00) | No problematic activity frequency | No persistent problematic behavior,No major behavioral risk signals,NO_MAJOR_RISK_SIGNAL,"Customer classified as LOW with a risk score of 0.00. Primary risk dimension: SEVERITY. Severity=0.00, Frequency=0.00, Persistence=0.00. No major behavioral risk signals"
C000037,Maria,Chambers,United Arab Emirates,VIP,1,0,0,0,0,0.0,LOW,0.0,NONE,0.0,NONE,0.0,LOW,NORMAL_CUSTOMER,SEVERITY,Low journey severity (score 0.00) | No problematic activity frequency | No persistent problematic behavior,No major behavioral risk signals,NO_MAJOR_RISK_SIGNAL,"Customer classified as LOW with a risk score of 0.00. Primary risk dimension: SEVERITY. Severity=0.00, Frequency=0.00, Persistence=0.00. No major behavioral risk signals"
C000039,Michelle,Robles,United Kingdom,Standard,3,0,0,1,1,45.0,MODERATE,0.83,LOW,30.0,MODERATE,27.25,MEDIUM,LOYAL_LOW_FRICTION_CUSTOMER,SEVERITY,Moderate journey severity (score 45.00) | Low problematic activity frequency (score 0.83) | Moderate persistence of problematic behavior (score 30.00),1 detected journey anomaly | 1 problematic journey,NO_MAJOR_RISK_SIGNAL,"Customer classified as MEDIUM with a risk score of 27.25. Primary risk dimension: SEVERITY. Severity=45.00, Frequency=0.83, Persistence=30.00. 1 detected journey anomaly | 1 problematic journey"
C000041,Janet,Olson,Saudi Arabia,Standard,2,0,0,1,1,40.0,MODERATE,1.25,LOW,30.0,MODERATE,25.38,MEDIUM,NORMAL_CUSTOMER,SEVERITY,Moderate journey severity (score 40.00) | Low problematic activity frequency (score 1.25) | Moderate persistence of problematic behavior (score 30.00),1 detected journey anomaly | 1 problematic journey,NO_MAJOR_RISK_SIGNAL,"Customer classified as MEDIUM with a risk score of 25.38. Primary risk dimension: SEVERITY. Severity=40.00, Frequency=1.25, Persistence=30.00. 1 detected journey anomaly | 1 problematic journey"
C000043,Jeremy,Mcclain,Saudi Arabia,Standard,2,0,0,1,1,40.0,MODERATE,1.25,LOW,30.0,MODERATE,25.38,MEDIUM,NORMAL_CUSTOMER,SEVERITY,Moderate journey severity (score 40.00) | Low problematic activity frequency (score 1.25) | Moderate persistence of problematic behavior (score 30.00),1 detected journey anomaly | 1 problematic journey,NO_MAJOR_RISK_SIGNAL,"Customer classified as MEDIUM with a risk score of 25.38. Primary risk dimension: SEVERITY. Severity=40.00, Frequency=1.25, Persistence=30.00. 1 detected journey anomaly | 1 problematic journey"
C000044,Keith,Herrera,Other,Standard,1,0,0,1,1,45.0,MODERATE,2.5,LOW,30.0,MODERATE,27.75,MEDIUM,NORMAL_CUSTOMER,SEVERITY,Moderate journey severity (score 45.00) | Low problematic activity frequency (score 2.50) | Moderate persistence of problematic behavior (score 30.00),1 detected journey anomaly | 1 problematic journey,NO_MAJOR_RISK_SIGNAL,"Customer classified as MEDIUM with a risk score of 27.75. Primary risk dimension: SEVERITY. Severity=45.00, Frequency=2.50, Persistence=30.00. 1 detected journey anomaly | 1 problematic journey"
C000045,Christopher,Rogers,Saudi Arabia,Premium,3,0,0,0,0,0.0,LOW,0.0,NONE,0.0,NONE,0.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER,SEVERITY,Low journey severity (score 0.00) | No problematic activity frequency | No persistent problematic behavior,No major behavioral risk signals,NO_MAJOR_RISK_SIGNAL,"Customer classified as LOW with a risk score of 0.00. Primary risk dimension: SEVERITY. Severity=0.00, Frequency=0.00, Persistence=0.00. No major behavioral risk signals"
C000047,Craig,Gutierrez,United Arab Emirates,Premium,1,0,0,0,0,0.0,LOW,0.0,NONE,0.0,NONE,0.0,LOW,NORMAL_CUSTOMER,SEVERITY,Low journey severity (score 0.00) | No problematic activity frequency | No persistent problematic behavior,No major behavioral risk signals,NO_MAJOR_RISK_SIGNAL,"Customer classified as LOW with a risk score of 0.00. Primary risk dimension: SEVERITY. Severity=0.00, Frequency=0.00, Persistence=0.00. No major behavioral risk signals"
C000049,Cynthia,Conley,Pakistan,Standard,2,2,2,1,1,75.0,VERY_HIGH,17.5,MODERATE,30.0,MODERATE,44.25,MEDIUM,NORMAL_CUSTOMER,SEVERITY,Very high journey severity (score 75.00) | Moderate problematic activity frequency (score 17.50) | Moderate persistence of problematic behavior (score 30.00),2 failed payment attempts | 2 payment retries | 1 detected journey anomaly | 1 problematic journey,HIGH_SEVERITY | REPEATED_PAYMENT_FAILURES,"Customer classified as MEDIUM with a risk score of 44.25. Primary risk dimension: SEVERITY. Severity=75.00, Frequency=17.50, Persistence=30.00. 2 failed payment attempts | 2 payment retries | 1 detected journey anomaly | 1 problematic journey"
C000050,Michael,Evans,Saudi Arabia,Standard,1,1,1,0,0,30.0,MODERATE,16.25,MODERATE,0.0,NONE,16.88,LOW,NORMAL_CUSTOMER,SEVERITY,Moderate journey severity (score 30.00) | Moderate problematic activity frequency (score 16.25) | No persistent problematic behavior,1 failed payment attempts | 1 payment retries,NO_MAJOR_RISK_SIGNAL,"Customer classified as LOW with a risk score of 16.88. Primary risk dimension: SEVERITY. Severity=30.00, Frequency=16.25, Persistence=0.00. 1 failed payment attempts | 1 payment retries"
C000052,Jason,Stewart,United States,Standard,1,0,0,0,0,0.0,LOW,0.0,NONE,0.0,NONE,0.0,LOW,NORMAL_CUSTOMER,SEVERITY,Low journey severity (score 0.00) | No problematic activity frequency | No persistent problematic behavior,No major behavioral risk signals,NO_MAJOR_RISK_SIGNAL,"Customer classified as LOW with a risk score of 0.00. Primary risk dimension: SEVERITY. Severity=0.00, Frequency=0.00, Persistence=0.00. No major behavioral risk signals"
C000053,Joseph,Herrera,Other,Premium,2,1,1,2,2,70.0,HIGH,10.62,LOW,79.0,VERY_HIGH,54.89,HIGH,FRICTION_PRONE_CUSTOMER,PERSISTENCE,High journey severity (score 70.00) | Low problematic activity frequency (score 10.62) | Very persistent problematic behavior (score 79.00),1 failed payment attempts | 1 payment retries | 2 detected journey anomalies | 2 problematic journeys,HIGH_SEVERITY | PERSISTENT_BEHAVIOR | MULTIPLE_PROBLEMATIC_JOURNEYS,"Customer classified as HIGH with a risk score of 54.89. Primary risk dimension: PERSISTENCE. Severity=70.00, Frequency=10.62, Persistence=79.00. 1 failed payment attempts | 1 payment retries | 2 detected journey anomalies | 2 problematic journeys"
C000054,Sharon,Clark,Other,Standard,2,1,1,0,0,30.0,MODERATE,8.12,LOW,0.0,NONE,14.44,LOW,NORMAL_CUSTOMER,SEVERITY,Moderate journey severity (score 30.00) | Low problematic activity frequency (score 8.12) | No persistent problematic behavior,1 failed payment attempts | 1 payment retries,NO_MAJOR_RISK_SIGNAL,"Customer classified as LOW with a risk score of 14.44. Primary risk dimension: SEVERITY. Severity=30.00, Frequency=8.12, Persistence=0.00. 1 failed payment attempts | 1 payment retries"
C000055,Deborah,Jennings,Pakistan,Standard,1,1,1,0,0,30.0,MODERATE,16.25,MODERATE,0.0,NONE,16.88,LOW,NORMAL_CUSTOMER,SEVERITY,Moderate journey severity (score 30.00) | Moderate problematic activity frequency (score 16.25) | No persistent problematic behavior,1 failed payment attempts | 1 payment retries,NO_MAJOR_RISK_SIGNAL,"Customer classified as LOW with a risk score of 16.88. Primary risk dimension: SEVERITY. Severity=30.00, Frequency=16.25, Persistence=0.00. 1 failed payment attempts | 1 payment retries"
C000056,Chelsea,Marsh,Other,Standard,1,0,0,1,1,40.0,MODERATE,2.5,LOW,30.0,MODERATE,25.75,MEDIUM,NORMAL_CUSTOMER,SEVERITY,Moderate journey severity (score 40.00) | Low problematic activity frequency (score 2.50) | Moderate persistence of problematic behavior (score 30.00),1 detected journey anomaly | 1 problematic journey,NO_MAJOR_RISK_SIGNAL,"Customer classified as MEDIUM with a risk score of 25.75. Primary risk dimension: SEVERITY. Severity=40.00, Frequency=2.50, Persistence=30.00. 1 detected journey anomaly | 1 problematic journey"
C000058,Jessica,Gomez,Saudi Arabia,Standard,1,0,0,0,0,0.0,LOW,0.0,NONE,0.0,NONE,0.0,LOW,NORMAL_CUSTOMER,SEVERITY,Low journey severity (score 0.00) | No problematic activity frequency | No persistent problematic behavior,No major behavioral risk signals,NO_MAJOR_RISK_SIGNAL,"Customer classified as LOW with a risk score of 0.00. Primary risk dimension: SEVERITY. Severity=0.00, Frequency=0.00, Persistence=0.00. No major behavioral risk signals"
C000059,Frank,Montes,Saudi Arabia,Standard,1,0,0,0,0,0.0,LOW,0.0,NONE,0.0,NONE,0.0,LOW,NORMAL_CUSTOMER,SEVERITY,Low journey severity (score 0.00) | No problematic activity frequency | No persistent problematic behavior,No major behavioral risk signals,NO_MAJOR_RISK_SIGNAL,"Customer classified as LOW with a risk score of 0.00. Primary risk dimension: SEVERITY. Severity=0.00, Frequency=0.00, Persistence=0.00. No major behavioral risk signals"
C000061,Veronica,Johnson,United Arab Emirates,Premium,4,3,3,3,2,65.0,HIGH,14.06,LOW,59.0,HIGH,47.92,MEDIUM,NORMAL_CUSTOMER,SEVERITY,High journey severity (score 65.00) | Low problematic activity frequency (score 14.06) | Persistent problematic behavior (score 59.00),3 failed payment attempts | 3 payment retries | 3 detected journey anomalies | 2 problematic journeys,PERSISTENT_BEHAVIOR | REPEATED_PAYMENT_FAILURES | MULTIPLE_PROBLEMATIC_JOURNEYS,"Customer classified as MEDIUM with a risk score of 47.92. Primary risk dimension: SEVERITY. Severity=65.00, Frequency=14.06, Persistence=59.00. 3 failed payment attempts | 3 payment retries | 3 detected journey anomalies | 2 problematic journeys"
C000063,Angela,Sims,United States,Standard,1,0,0,1,1,40.0,MODERATE,2.5,LOW,30.0,MODERATE,25.75,MEDIUM,NORMAL_CUSTOMER,SEVERITY,Moderate journey severity (score 40.00) | Low problematic activity frequency (score 2.50) | Moderate persistence of problematic behavior (score 30.00),1 detected journey anomaly | 1 problematic journey,NO_MAJOR_RISK_SIGNAL,"Customer classified as MEDIUM with a risk score of 25.75. Primary risk dimension: SEVERITY. Severity=40.00, Frequency=2.50, Persistence=30.00. 1 detected journey anomaly | 1 problematic journey"
C000065,Megan,Duncan,Saudi Arabia,Standard,2,3,3,2,1,65.0,HIGH,26.88,MODERATE,30.0,MODERATE,43.06,MEDIUM,NORMAL_CUSTOMER,SEVERITY,High journey severity (score 65.00) | Moderate problematic activity frequency (score 26.88) | Moderate persistence of problematic behavior (score 30.00),3 failed payment attempts | 3 payment retries | 2 detected journey anomalies | 1 problematic journey,REPEATED_PAYMENT_FAILURES,"Customer classified as MEDIUM with a risk score of 43.06. Primary risk dimension: SEVERITY. Severity=65.00, Frequency=26.88, Persistence=30.00. 3 failed payment attempts | 3 payment retries | 2 detected journey anomalies | 1 problematic journey"
C000066,Kimberly,Price,Pakistan,Standard,1,1,1,0,0,30.0,MODERATE,16.25,MODERATE,0.0,NONE,16.88,LOW,NORMAL_CUSTOMER,SEVERITY,Moderate journey severity (score 30.00) | Moderate problematic activity frequency (score 16.25) | No persistent problematic behavior,1 failed payment attempts | 1 payment retries,NO_MAJOR_RISK_SIGNAL,"Customer classified as LOW with a risk score of 16.88. Primary risk dimension: SEVERITY. Severity=30.00, Frequency=16.25, Persistence=0.00. 1 failed payment attempts | 1 payment retries"
C000067,Jeremy,Larson,Saudi Arabia,Standard,4,3,3,5,3,100.0,VERY_HIGH,15.31,MODERATE,81.0,VERY_HIGH,68.89,HIGH,FRICTION_PRONE_CUSTOMER,SEVERITY,Very high journey severity (score 100.00) | Moderate problematic activity frequency (score 15.31) | Very persistent problematic behavior (score 81.00),3 failed payment attempts | 3 payment retries | 5 detected journey anomalies | 3 problematic journeys | 1 critical journey(s),HIGH_SEVERITY | PERSISTENT_BEHAVIOR | REPEATED_PAYMENT_FAILURES | MULTIPLE_PROBLEMATIC_JOURNEYS | CRITICAL_JOURNEY,"Customer classified as HIGH with a risk score of 68.89. Primary risk dimension: SEVERITY. Severity=100.00, Frequency=15.31, Persistence=81.00. 3 failed payment attempts | 3 payment retries | 5 detected journey anomalies | 3 problematic journeys | 1 critical journey(s)"
C000068,Antonio,Hancock,United States,Standard,3,1,1,0,0,30.0,MODERATE,5.42,LOW,0.0,NONE,13.63,LOW,LOYAL_LOW_FRICTION_CUSTOMER,SEVERITY,Moderate journey severity (score 30.00) | Low problematic activity frequency (score 5.42) | No persistent problematic behavior,1 failed payment attempts | 1 payment retries,NO_MAJOR_RISK_SIGNAL,"Customer classified as LOW with a risk score of 13.63. Primary risk dimension: SEVERITY. Severity=30.00, Frequency=5.42, Persistence=0.00. 1 failed payment attempts | 1 payment retries"
C000070,Joseph,Thornton,Other,Standard,1,2,2,2,1,65.0,HIGH,37.5,HIGH,30.0,MODERATE,46.25,MEDIUM,NORMAL_CUSTOMER,SEVERITY,High journey severity (score 65.00) | High problematic activity frequency (score 37.50) | Moderate persistence of problematic behavior (score 30.00),2 failed payment attempts | 2 payment retries | 2 detected journey anomalies | 1 problematic journey,REPEATED_PAYMENT_FAILURES,"Customer classified as MEDIUM with a risk score of 46.25. Primary risk dimension: SEVERITY. Severity=65.00, Frequency=37.50, Persistence=30.00. 2 failed payment attempts | 2 payment retries | 2 detected journey anomalies | 1 problematic journey"
