customer_id,first_name,last_name,country,customer_segment,total_bookings,total_failed_payments,total_retries,total_anomalies,problematic_journeys,severity_score,frequency_score,persistence_score,customer_risk_score,customer_risk_level,behavior_profile,risk_segment,segment_reason
C000013,Anthony,Wilson,United States,Premium,1,2,2,3,1,100.0,40.0,30.0,61.0,HIGH,FRICTION_PRONE_CUSTOMER,RECENT_HIGH_SEVERITY,High severity score 100.00 | Limited evidence of repeated behavior
C000014,James,Charles,Saudi Arabia,Premium,1,1,1,0,0,30.0,16.25,0.0,16.88,LOW,NORMAL_CUSTOMER,FREQUENT_FRICTION,Frequency score 16.25 | Repeated problematic activity
C000016,Amy,Duarte,Saudi Arabia,Premium,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000017,Jeffrey,Gutierrez,United Arab Emirates,Standard,3,0,0,0,0,0.0,0.0,0.0,0.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER,LOYAL_STABLE_CUSTOMER,Multiple bookings | Low journey friction | Minimal problematic journeys
C000019,Lisa,Castro,United Arab Emirates,Premium,7,4,4,6,4,65.0,11.43,82.86,54.29,HIGH,FRICTION_PRONE_CUSTOMER,PERSISTENT_RISK,Repeated problematic journeys | Persistence score 82.86
C000021,Linda,Smith,Pakistan,VIP,2,0,0,1,1,40.0,1.25,30.0,25.38,MEDIUM,NORMAL_CUSTOMER,DEVELOPING_FRICTION,Emerging risk indicators | Early persistence signal
C000022,Helen,Harris,Saudi Arabia,Standard,3,0,0,0,0,0.0,0.0,0.0,0.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER,LOYAL_STABLE_CUSTOMER,Multiple bookings | Low journey friction | Minimal problematic journeys
C000023,Matthew,Campbell,Saudi Arabia,Standard,1,0,0,1,1,40.0,2.5,30.0,25.75,MEDIUM,NORMAL_CUSTOMER,DEVELOPING_FRICTION,Emerging risk indicators | Early persistence signal
C000025,Susan,Parker,United Arab Emirates,Premium,2,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000026,Matthew,Hunter,United States,Standard,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000027,Christopher,Nguyen,Saudi Arabia,Standard,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000028,Colin,Smith,Pakistan,Premium,2,2,2,0,0,30.0,16.25,0.0,16.88,LOW,NORMAL_CUSTOMER,FREQUENT_FRICTION,Frequency score 16.25 | Repeated problematic activity
C000029,Melanie,Jennings,Pakistan,Standard,3,0,0,2,2,40.0,1.67,65.67,36.2,MEDIUM,NORMAL_CUSTOMER,PERSISTENT_RISK,Repeated problematic journeys | Persistence score 65.67
C000031,Lindsay,Ramsey,Pakistan,Premium,1,1,1,0,0,30.0,16.25,0.0,16.88,LOW,NORMAL_CUSTOMER,FREQUENT_FRICTION,Frequency score 16.25 | Repeated problematic activity
C000033,Amanda,Johnson,Saudi Arabia,Standard,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000035,Nicholas,Rivera,Other,Standard,2,2,2,3,2,65.0,20.0,79.0,55.7,HIGH,FRICTION_PRONE_CUSTOMER,PERSISTENT_RISK,Repeated problematic journeys | Persistence score 79.00
C000036,Andrea,Morgan,United States,Premium,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000037,Maria,Chambers,United Arab Emirates,VIP,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000039,Michelle,Robles,United Kingdom,Standard,3,0,0,1,1,45.0,0.83,30.0,27.25,MEDIUM,LOYAL_LOW_FRICTION_CUSTOMER,DEVELOPING_FRICTION,Emerging risk indicators | Early persistence signal
C000041,Janet,Olson,Saudi Arabia,Standard,2,0,0,1,1,40.0,1.25,30.0,25.38,MEDIUM,NORMAL_CUSTOMER,DEVELOPING_FRICTION,Emerging risk indicators | Early persistence signal
C000043,Jeremy,Mcclain,Saudi Arabia,Standard,2,0,0,1,1,40.0,1.25,30.0,25.38,MEDIUM,NORMAL_CUSTOMER,DEVELOPING_FRICTION,Emerging risk indicators | Early persistence signal
C000044,Keith,Herrera,Other,Standard,1,0,0,1,1,45.0,2.5,30.0,27.75,MEDIUM,NORMAL_CUSTOMER,DEVELOPING_FRICTION,Emerging risk indicators | Early persistence signal
C000045,Christopher,Rogers,Saudi Arabia,Premium,3,0,0,0,0,0.0,0.0,0.0,0.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER,LOYAL_STABLE_CUSTOMER,Multiple bookings | Low journey friction | Minimal problematic journeys
C000047,Craig,Gutierrez,United Arab Emirates,Premium,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000049,Cynthia,Conley,Pakistan,Standard,2,2,2,1,1,75.0,17.5,30.0,44.25,MEDIUM,NORMAL_CUSTOMER,RECENT_HIGH_SEVERITY,High severity score 75.00 | Limited evidence of repeated behavior
C000050,Michael,Evans,Saudi Arabia,Standard,1,1,1,0,0,30.0,16.25,0.0,16.88,LOW,NORMAL_CUSTOMER,FREQUENT_FRICTION,Frequency score 16.25 | Repeated problematic activity
C000052,Jason,Stewart,United States,Standard,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000053,Joseph,Herrera,Other,Premium,2,1,1,2,2,70.0,10.62,79.0,54.89,HIGH,FRICTION_PRONE_CUSTOMER,PERSISTENT_RISK,Repeated problematic journeys | Persistence score 79.00
C000054,Sharon,Clark,Other,Standard,2,1,1,0,0,30.0,8.12,0.0,14.44,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000055,Deborah,Jennings,Pakistan,Standard,1,1,1,0,0,30.0,16.25,0.0,16.88,LOW,NORMAL_CUSTOMER,FREQUENT_FRICTION,Frequency score 16.25 | Repeated problematic activity
C000056,Chelsea,Marsh,Other,Standard,1,0,0,1,1,40.0,2.5,30.0,25.75,MEDIUM,NORMAL_CUSTOMER,DEVELOPING_FRICTION,Emerging risk indicators | Early persistence signal
C000058,Jessica,Gomez,Saudi Arabia,Standard,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000059,Frank,Montes,Saudi Arabia,Standard,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000061,Veronica,Johnson,United Arab Emirates,Premium,4,3,3,3,2,65.0,14.06,59.0,47.92,MEDIUM,NORMAL_CUSTOMER,PERSISTENT_RISK,Repeated problematic journeys | Persistence score 59.00
C000063,Angela,Sims,United States,Standard,1,0,0,1,1,40.0,2.5,30.0,25.75,MEDIUM,NORMAL_CUSTOMER,DEVELOPING_FRICTION,Emerging risk indicators | Early persistence signal
C000065,Megan,Duncan,Saudi Arabia,Standard,2,3,3,2,1,65.0,26.88,30.0,43.06,MEDIUM,NORMAL_CUSTOMER,FREQUENT_FRICTION,Frequency score 26.88 | Repeated problematic activity
C000066,Kimberly,Price,Pakistan,Standard,1,1,1,0,0,30.0,16.25,0.0,16.88,LOW,NORMAL_CUSTOMER,FREQUENT_FRICTION,Frequency score 16.25 | Repeated problematic activity
C000067,Jeremy,Larson,Saudi Arabia,Standard,4,3,3,5,3,100.0,15.31,81.0,68.89,HIGH,FRICTION_PRONE_CUSTOMER,PERSISTENT_RISK,Repeated problematic journeys | Persistence score 81.00
C000068,Antonio,Hancock,United States,Standard,3,1,1,0,0,30.0,5.42,0.0,13.63,LOW,LOYAL_LOW_FRICTION_CUSTOMER,LOYAL_STABLE_CUSTOMER,Multiple bookings | Low journey friction | Minimal problematic journeys
C000070,Joseph,Thornton,Other,Standard,1,2,2,2,1,65.0,37.5,30.0,46.25,MEDIUM,NORMAL_CUSTOMER,FREQUENT_FRICTION,Frequency score 37.50 | Repeated problematic activity
C000072,Sherri,Johnson,Saudi Arabia,Standard,3,3,3,3,2,75.0,18.75,65.67,55.33,HIGH,FRICTION_PRONE_CUSTOMER,PERSISTENT_RISK,Repeated problematic journeys | Persistence score 65.67
C000073,Nancy,Gutierrez,Saudi Arabia,Standard,4,1,1,2,2,75.0,5.31,59.0,49.29,HIGH,FRICTION_PRONE_CUSTOMER,PERSISTENT_RISK,Repeated problematic journeys | Persistence score 59.00
C000075,Diana,Young,United Kingdom,Standard,4,2,2,2,1,65.0,9.38,28.0,37.21,MEDIUM,LOYAL_LOW_FRICTION_CUSTOMER,DEVELOPING_FRICTION,Emerging risk indicators | Increasing problem frequency | Early persistence signal
C000076,Randall,Hayes,United Kingdom,Standard,2,2,2,2,1,65.0,18.75,30.0,40.62,MEDIUM,NORMAL_CUSTOMER,FREQUENT_FRICTION,Frequency score 18.75 | Repeated problematic activity
C000078,Stephen,Robinson,Saudi Arabia,Standard,2,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000079,Joseph,Turner,United Arab Emirates,Standard,2,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000082,Jose,Strickland,Pakistan,Premium,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000083,Brenda,Gentry,United Arab Emirates,Premium,2,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000084,Rachael,Wallace,Saudi Arabia,VIP,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000085,Reginald,Johnson,United Arab Emirates,Premium,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000086,Jeffrey,Webb,United Arab Emirates,Premium,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000087,Whitney,Porter,United Kingdom,Standard,2,1,1,0,0,35.0,8.12,0.0,16.44,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000088,William,Lee,Pakistan,Standard,1,2,2,2,1,60.0,37.5,30.0,44.25,MEDIUM,NORMAL_CUSTOMER,FREQUENT_FRICTION,Frequency score 37.50 | Repeated problematic activity
C000090,Brandon,Oconnor,United Arab Emirates,Standard,4,0,0,0,0,0.0,0.0,0.0,0.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER,LOYAL_STABLE_CUSTOMER,Multiple bookings | Low journey friction | Minimal problematic journeys
C000091,Daniel,Mills,Saudi Arabia,Standard,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000092,Courtney,Rowe,United Kingdom,VIP,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000095,Bryan,Short,United States,Standard,2,2,2,2,1,65.0,18.75,30.0,40.62,MEDIUM,NORMAL_CUSTOMER,FREQUENT_FRICTION,Frequency score 18.75 | Repeated problematic activity
C000098,Allison,Anderson,United Arab Emirates,Standard,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000099,Tasha,Hardy,Saudi Arabia,Standard,3,1,1,0,0,30.0,5.42,0.0,13.63,LOW,LOYAL_LOW_FRICTION_CUSTOMER,LOYAL_STABLE_CUSTOMER,Multiple bookings | Low journey friction | Minimal problematic journeys
C000101,Alexander,Reeves,Saudi Arabia,Standard,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000105,Joseph,Mcdaniel,Other,Standard,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000106,Danielle,Wheeler,Saudi Arabia,Standard,3,0,0,0,0,0.0,0.0,0.0,0.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER,LOYAL_STABLE_CUSTOMER,Multiple bookings | Low journey friction | Minimal problematic journeys
C000110,Stephanie,Meyer,Saudi Arabia,Standard,2,0,0,1,1,40.0,1.25,30.0,25.38,MEDIUM,NORMAL_CUSTOMER,DEVELOPING_FRICTION,Emerging risk indicators | Early persistence signal
C000111,Nancy,Hopkins,Saudi Arabia,Premium,1,2,2,2,1,60.0,37.5,30.0,44.25,MEDIUM,NORMAL_CUSTOMER,FREQUENT_FRICTION,Frequency score 37.50 | Repeated problematic activity
C000113,Vincent,Lane,Other,Standard,1,1,1,0,0,35.0,16.25,0.0,18.88,LOW,NORMAL_CUSTOMER,FREQUENT_FRICTION,Frequency score 16.25 | Repeated problematic activity
C000114,Guy,Collins,United States,Standard,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000115,Rita,Mcclain,Pakistan,Standard,2,3,3,2,1,65.0,26.88,30.0,43.06,MEDIUM,NORMAL_CUSTOMER,FREQUENT_FRICTION,Frequency score 26.88 | Repeated problematic activity
C000116,Monica,Flores,Other,Standard,4,3,3,3,2,65.0,14.06,59.0,47.92,MEDIUM,NORMAL_CUSTOMER,PERSISTENT_RISK,Repeated problematic journeys | Persistence score 59.00
C000117,Kenneth,Lee,United States,Premium,2,0,0,1,1,45.0,1.25,30.0,27.38,MEDIUM,NORMAL_CUSTOMER,DEVELOPING_FRICTION,Emerging risk indicators | Early persistence signal
C000118,Danielle,Hill,Saudi Arabia,Premium,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000119,Chelsea,Flores,Other,Standard,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000120,Eric,Alexander,Pakistan,Premium,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000121,Kathryn,Wilson,United States,Standard,2,1,1,0,0,30.0,8.12,0.0,14.44,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000122,Amber,Hernandez,Other,Standard,1,0,0,1,1,40.0,2.5,30.0,25.75,MEDIUM,NORMAL_CUSTOMER,DEVELOPING_FRICTION,Emerging risk indicators | Early persistence signal
C000123,Kimberly,Hill,United Arab Emirates,Standard,2,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000124,Alyssa,Smith,Saudi Arabia,Standard,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000125,Aaron,Dean,Saudi Arabia,Standard,2,0,0,1,1,40.0,1.25,30.0,25.38,MEDIUM,NORMAL_CUSTOMER,DEVELOPING_FRICTION,Emerging risk indicators | Early persistence signal
C000126,Mario,Palmer,United Arab Emirates,Standard,2,1,1,0,0,30.0,8.12,0.0,14.44,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000127,Andrew,Clark,United States,Standard,2,1,1,1,1,40.0,9.38,30.0,27.81,MEDIUM,NORMAL_CUSTOMER,DEVELOPING_FRICTION,Emerging risk indicators | Increasing problem frequency | Early persistence signal
C000128,Sarah,Bell,Other,Standard,2,4,4,4,2,65.0,37.5,79.0,60.95,HIGH,FRICTION_PRONE_CUSTOMER,PERSISTENT_RISK,Repeated problematic journeys | Persistence score 79.00
C000129,Natasha,Flores,Saudi Arabia,Standard,4,0,0,0,0,0.0,0.0,0.0,0.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER,LOYAL_STABLE_CUSTOMER,Multiple bookings | Low journey friction | Minimal problematic journeys
C000130,Marie,Thomas,Pakistan,Standard,3,0,0,1,1,40.0,0.83,30.0,25.25,MEDIUM,LOYAL_LOW_FRICTION_CUSTOMER,DEVELOPING_FRICTION,Emerging risk indicators | Early persistence signal
C000131,Kyle,Bush,United Arab Emirates,Standard,2,2,2,3,1,100.0,20.0,30.0,55.0,HIGH,FRICTION_PRONE_CUSTOMER,RECENT_HIGH_SEVERITY,High severity score 100.00 | Limited evidence of repeated behavior
C000133,Natalie,Sanchez,Saudi Arabia,Standard,1,1,1,1,1,70.0,18.75,30.0,42.62,MEDIUM,NORMAL_CUSTOMER,FREQUENT_FRICTION,Frequency score 18.75 | Repeated problematic activity
C000134,Stacey,Jones,United Arab Emirates,Premium,2,1,1,0,0,30.0,8.12,0.0,14.44,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000135,Christopher,Austin,Other,Standard,1,2,2,3,1,100.0,40.0,30.0,61.0,HIGH,FRICTION_PRONE_CUSTOMER,RECENT_HIGH_SEVERITY,High severity score 100.00 | Limited evidence of repeated behavior
C000137,Chad,Wallace,Pakistan,Standard,3,0,0,0,0,0.0,0.0,0.0,0.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER,LOYAL_STABLE_CUSTOMER,Multiple bookings | Low journey friction | Minimal problematic journeys
C000138,Kathleen,Anderson,United Kingdom,Standard,2,0,0,1,1,40.0,1.25,30.0,25.38,MEDIUM,NORMAL_CUSTOMER,DEVELOPING_FRICTION,Emerging risk indicators | Early persistence signal
C000139,Katie,Ruiz,United Arab Emirates,Premium,2,1,1,0,0,35.0,8.12,0.0,16.44,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000140,David,Lowe,Other,Standard,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000141,Thomas,Rodriguez,Other,Standard,2,0,0,2,2,40.0,2.5,79.0,40.45,MEDIUM,NORMAL_CUSTOMER,PERSISTENT_RISK,Repeated problematic journeys | Persistence score 79.00
C000142,Andrea,Brown,Saudi Arabia,Standard,2,2,2,0,0,30.0,16.25,0.0,16.88,LOW,NORMAL_CUSTOMER,FREQUENT_FRICTION,Frequency score 16.25 | Repeated problematic activity
C000143,Joseph,Simmons,United Arab Emirates,Standard,3,0,0,0,0,0.0,0.0,0.0,0.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER,LOYAL_STABLE_CUSTOMER,Multiple bookings | Low journey friction | Minimal problematic journeys
C000144,Monique,White,United Arab Emirates,Standard,3,2,2,1,1,45.0,11.67,30.0,30.5,MEDIUM,NORMAL_CUSTOMER,DEVELOPING_FRICTION,Emerging risk indicators | Increasing problem frequency | Early persistence signal
C000146,Jason,Watkins,Saudi Arabia,Premium,3,0,0,0,0,0.0,0.0,0.0,0.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER,LOYAL_STABLE_CUSTOMER,Multiple bookings | Low journey friction | Minimal problematic journeys
C000147,Amber,Huff,Pakistan,Standard,2,1,1,1,1,70.0,9.38,30.0,39.81,MEDIUM,NORMAL_CUSTOMER,DEVELOPING_FRICTION,Emerging risk indicators | Increasing problem frequency | Early persistence signal
C000148,Jessica,Lyons,Pakistan,Standard,2,1,1,1,1,45.0,9.38,30.0,29.81,MEDIUM,NORMAL_CUSTOMER,DEVELOPING_FRICTION,Emerging risk indicators | Increasing problem frequency | Early persistence signal
C000149,James,Jensen,Saudi Arabia,Premium,3,3,3,3,2,65.0,18.75,65.67,51.33,HIGH,FRICTION_PRONE_CUSTOMER,PERSISTENT_RISK,Repeated problematic journeys | Persistence score 65.67
C000151,Wanda,Roth,Other,Standard,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000152,Debra,Marquez,Saudi Arabia,Standard,3,3,3,2,1,65.0,17.92,30.0,40.38,MEDIUM,NORMAL_CUSTOMER,FREQUENT_FRICTION,Frequency score 17.92 | Repeated problematic activity
C000153,Samuel,Lambert,Saudi Arabia,Standard,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000154,Zachary,Ferguson,United Arab Emirates,Standard,4,1,1,0,0,35.0,4.06,0.0,15.22,LOW,LOYAL_LOW_FRICTION_CUSTOMER,LOYAL_STABLE_CUSTOMER,Multiple bookings | Low journey friction | Minimal problematic journeys
C000155,David,Beltran,Other,Standard,3,0,0,1,1,40.0,0.83,30.0,25.25,MEDIUM,LOYAL_LOW_FRICTION_CUSTOMER,DEVELOPING_FRICTION,Emerging risk indicators | Early persistence signal
C000156,Jeffrey,Campos,Saudi Arabia,Standard,3,0,0,2,2,45.0,1.67,65.67,38.2,MEDIUM,NORMAL_CUSTOMER,PERSISTENT_RISK,Repeated problematic journeys | Persistence score 65.67
C000157,Matthew,Owens,United Kingdom,VIP,1,1,1,1,1,75.0,18.75,30.0,44.62,MEDIUM,NORMAL_CUSTOMER,RECENT_HIGH_SEVERITY,High severity score 75.00 | Limited evidence of repeated behavior
C000159,Jerry,Hess,Saudi Arabia,Standard,2,2,2,0,0,35.0,16.25,0.0,18.88,LOW,NORMAL_CUSTOMER,FREQUENT_FRICTION,Frequency score 16.25 | Repeated problematic activity
C000160,Jeffrey,Gillespie,United Kingdom,Premium,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000161,Chad,Mcdonald,United Arab Emirates,Standard,2,1,1,1,1,40.0,9.38,30.0,27.81,MEDIUM,NORMAL_CUSTOMER,DEVELOPING_FRICTION,Emerging risk indicators | Increasing problem frequency | Early persistence signal
C000162,Crystal,Bryant,Pakistan,Standard,4,0,0,1,1,45.0,0.62,28.0,26.59,MEDIUM,LOYAL_LOW_FRICTION_CUSTOMER,DEVELOPING_FRICTION,Emerging risk indicators | Early persistence signal
C000163,Jeremy,Cohen,Pakistan,Standard,2,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000164,Rebecca,Mckinney,Pakistan,Standard,1,2,2,3,1,100.0,40.0,30.0,61.0,HIGH,FRICTION_PRONE_CUSTOMER,RECENT_HIGH_SEVERITY,High severity score 100.00 | Limited evidence of repeated behavior
C000165,Michele,Marshall,Saudi Arabia,Premium,2,3,3,2,1,65.0,26.88,30.0,43.06,MEDIUM,NORMAL_CUSTOMER,FREQUENT_FRICTION,Frequency score 26.88 | Repeated problematic activity
C000166,Chad,Hall,United States,Standard,3,0,0,2,2,45.0,1.67,65.67,38.2,MEDIUM,NORMAL_CUSTOMER,PERSISTENT_RISK,Repeated problematic journeys | Persistence score 65.67
C000167,John,Walker,United Arab Emirates,Standard,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000171,Selena,Myers,United Kingdom,Premium,2,0,0,1,1,40.0,1.25,30.0,25.38,MEDIUM,NORMAL_CUSTOMER,DEVELOPING_FRICTION,Emerging risk indicators | Early persistence signal
C000172,Ashley,Lyons,Saudi Arabia,VIP,3,0,0,1,1,40.0,0.83,30.0,25.25,MEDIUM,LOYAL_LOW_FRICTION_CUSTOMER,DEVELOPING_FRICTION,Emerging risk indicators | Early persistence signal
C000173,Thomas,Ortega,Pakistan,Standard,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000174,Kristen,Mccormick,Saudi Arabia,Standard,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000175,Lindsey,Khan,Pakistan,Standard,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000176,James,Chavez,Saudi Arabia,Premium,2,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
