customer_id,first_name,last_name,country,customer_segment,total_bookings,total_booking_value,total_payment_attempts,total_failed_payments,total_successful_payments,total_retries,average_friction_score,maximum_friction_score,total_anomalies,high_risk_journeys,critical_journeys,problematic_journeys,severity_score,failure_rate_per_booking,retry_rate_per_booking,anomaly_rate_per_booking,frequency_score,problematic_journey_rate,persistence_score,customer_risk_score,customer_risk_level,behavior_profile,research_risk_signals
C000037,Maria,Chambers,United Arab Emirates,VIP,1,1355.17,1,0,1,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000039,Michelle,Robles,United Kingdom,Standard,3,8115.3,3,0,3,0,15.0,45.0,1,0,0,1,45.0,0.0,0.0,0.33,0.83,0.33,30.0,27.25,MEDIUM,LOYAL_LOW_FRICTION_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000041,Janet,Olson,Saudi Arabia,Standard,2,4848.79,2,0,2,0,20.0,40.0,1,0,0,1,40.0,0.0,0.0,0.5,1.25,0.5,30.0,25.38,MEDIUM,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000043,Jeremy,Mcclain,Saudi Arabia,Standard,2,2654.19,2,0,2,0,20.0,40.0,1,0,0,1,40.0,0.0,0.0,0.5,1.25,0.5,30.0,25.38,MEDIUM,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000044,Keith,Herrera,Other,Standard,1,4920.14,1,0,1,0,45.0,45.0,1,0,0,1,45.0,0.0,0.0,1.0,2.5,1.0,30.0,27.75,MEDIUM,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000045,Christopher,Rogers,Saudi Arabia,Premium,3,4953.31,3,0,3,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000047,Craig,Gutierrez,United Arab Emirates,Premium,1,4009.48,1,0,1,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000049,Cynthia,Conley,Pakistan,Standard,2,5359.21,4,2,2,2,55.0,75.0,1,1,0,1,75.0,1.0,1.0,0.5,17.5,0.5,30.0,44.25,MEDIUM,NORMAL_CUSTOMER,HIGH_SEVERITY | REPEATED_PAYMENT_FAILURES
C000050,Michael,Evans,Saudi Arabia,Standard,1,1035.62,2,1,1,1,30.0,30.0,0,0,0,0,30.0,1.0,1.0,0.0,16.25,0.0,0.0,16.88,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000052,Jason,Stewart,United States,Standard,1,2532.53,1,0,1,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000053,Joseph,Herrera,Other,Premium,2,5431.52,3,1,2,1,55.0,70.0,2,1,0,2,70.0,0.5,0.5,1.0,10.62,1.0,79.0,54.89,HIGH,FRICTION_PRONE_CUSTOMER,HIGH_SEVERITY | PERSISTENT_BEHAVIOR | MULTIPLE_PROBLEMATIC_JOURNEYS
C000054,Sharon,Clark,Other,Standard,2,3924.74,3,1,2,1,15.0,30.0,0,0,0,0,30.0,0.5,0.5,0.0,8.12,0.0,0.0,14.44,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000055,Deborah,Jennings,Pakistan,Standard,1,3005.0,2,1,1,1,30.0,30.0,0,0,0,0,30.0,1.0,1.0,0.0,16.25,0.0,0.0,16.88,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000056,Chelsea,Marsh,Other,Standard,1,4975.45,1,0,1,0,40.0,40.0,1,0,0,1,40.0,0.0,0.0,1.0,2.5,1.0,30.0,25.75,MEDIUM,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000058,Jessica,Gomez,Saudi Arabia,Standard,1,741.2,1,0,1,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000059,Frank,Montes,Saudi Arabia,Standard,1,1028.04,1,0,1,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000061,Veronica,Johnson,United Arab Emirates,Premium,4,13033.24,7,3,4,3,35.0,65.0,3,1,0,2,65.0,0.75,0.75,0.75,14.06,0.5,59.0,47.92,MEDIUM,NORMAL_CUSTOMER,PERSISTENT_BEHAVIOR | REPEATED_PAYMENT_FAILURES | MULTIPLE_PROBLEMATIC_JOURNEYS
C000063,Angela,Sims,United States,Standard,1,2375.54,1,0,1,0,40.0,40.0,1,0,0,1,40.0,0.0,0.0,1.0,2.5,1.0,30.0,25.75,MEDIUM,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000065,Megan,Duncan,Saudi Arabia,Standard,2,5323.12,5,3,2,3,50.0,65.0,2,1,0,1,65.0,1.5,1.5,1.0,26.88,0.5,30.0,43.06,MEDIUM,NORMAL_CUSTOMER,REPEATED_PAYMENT_FAILURES
C000066,Kimberly,Price,Pakistan,Standard,1,4813.96,2,1,1,1,30.0,30.0,0,0,0,0,30.0,1.0,1.0,0.0,16.25,0.0,0.0,16.88,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000067,Jeremy,Larson,Saudi Arabia,Standard,4,8420.78,7,3,4,3,55.0,100.0,5,2,1,3,100.0,0.75,0.75,1.25,15.31,0.75,81.0,68.89,HIGH,FRICTION_PRONE_CUSTOMER,HIGH_SEVERITY | PERSISTENT_BEHAVIOR | REPEATED_PAYMENT_FAILURES | MULTIPLE_PROBLEMATIC_JOURNEYS | CRITICAL_JOURNEY
C000068,Antonio,Hancock,United States,Standard,3,9919.12,4,1,3,1,10.0,30.0,0,0,0,0,30.0,0.33,0.33,0.0,5.42,0.0,0.0,13.63,LOW,LOYAL_LOW_FRICTION_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000070,Joseph,Thornton,Other,Standard,1,4199.51,3,2,1,2,65.0,65.0,2,1,0,1,65.0,2.0,2.0,2.0,37.5,1.0,30.0,46.25,MEDIUM,NORMAL_CUSTOMER,REPEATED_PAYMENT_FAILURES
C000072,Sherri,Johnson,Saudi Arabia,Standard,3,8351.73,6,3,3,3,46.67,75.0,3,2,0,2,75.0,1.0,1.0,1.0,18.75,0.67,65.67,55.33,HIGH,FRICTION_PRONE_CUSTOMER,HIGH_SEVERITY | PERSISTENT_BEHAVIOR | REPEATED_PAYMENT_FAILURES | MULTIPLE_PROBLEMATIC_JOURNEYS
C000073,Nancy,Gutierrez,Saudi Arabia,Standard,4,8678.76,5,1,4,1,28.75,75.0,2,1,0,2,75.0,0.25,0.25,0.5,5.31,0.5,59.0,49.29,HIGH,FRICTION_PRONE_CUSTOMER,HIGH_SEVERITY | PERSISTENT_BEHAVIOR | MULTIPLE_PROBLEMATIC_JOURNEYS
C000075,Diana,Young,United Kingdom,Standard,4,7737.76,6,2,4,2,16.25,65.0,2,1,0,1,65.0,0.5,0.5,0.5,9.38,0.25,28.0,37.21,MEDIUM,LOYAL_LOW_FRICTION_CUSTOMER,REPEATED_PAYMENT_FAILURES
C000076,Randall,Hayes,United Kingdom,Standard,2,6203.28,4,2,2,2,32.5,65.0,2,1,0,1,65.0,1.0,1.0,1.0,18.75,0.5,30.0,40.62,MEDIUM,NORMAL_CUSTOMER,REPEATED_PAYMENT_FAILURES
C000078,Stephen,Robinson,Saudi Arabia,Standard,2,4388.19,2,0,2,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000079,Joseph,Turner,United Arab Emirates,Standard,2,3500.91,2,0,2,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000082,Jose,Strickland,Pakistan,Premium,1,2925.28,1,0,1,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000083,Brenda,Gentry,United Arab Emirates,Premium,2,6669.94,2,0,2,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000084,Rachael,Wallace,Saudi Arabia,VIP,1,4153.24,1,0,1,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000085,Reginald,Johnson,United Arab Emirates,Premium,1,2171.27,1,0,1,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000086,Jeffrey,Webb,United Arab Emirates,Premium,1,4809.67,1,0,1,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000087,Whitney,Porter,United Kingdom,Standard,2,5301.37,3,1,2,1,17.5,35.0,0,0,0,0,35.0,0.5,0.5,0.0,8.12,0.0,0.0,16.44,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000088,William,Lee,Pakistan,Standard,1,715.88,3,2,1,2,60.0,60.0,2,1,0,1,60.0,2.0,2.0,2.0,37.5,1.0,30.0,44.25,MEDIUM,NORMAL_CUSTOMER,REPEATED_PAYMENT_FAILURES
C000090,Brandon,Oconnor,United Arab Emirates,Standard,4,10761.5,4,0,4,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000091,Daniel,Mills,Saudi Arabia,Standard,1,1342.12,1,0,1,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000092,Courtney,Rowe,United Kingdom,VIP,1,552.89,1,0,1,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000095,Bryan,Short,United States,Standard,2,7167.53,4,2,2,2,32.5,65.0,2,1,0,1,65.0,1.0,1.0,1.0,18.75,0.5,30.0,40.62,MEDIUM,NORMAL_CUSTOMER,REPEATED_PAYMENT_FAILURES
C000098,Allison,Anderson,United Arab Emirates,Standard,1,2817.88,1,0,1,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000099,Tasha,Hardy,Saudi Arabia,Standard,3,5185.18,4,1,3,1,10.0,30.0,0,0,0,0,30.0,0.33,0.33,0.0,5.42,0.0,0.0,13.63,LOW,LOYAL_LOW_FRICTION_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000101,Alexander,Reeves,Saudi Arabia,Standard,1,3306.38,1,0,1,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000105,Joseph,Mcdaniel,Other,Standard,1,3872.77,1,0,1,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000106,Danielle,Wheeler,Saudi Arabia,Standard,3,9051.36,3,0,3,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000110,Stephanie,Meyer,Saudi Arabia,Standard,2,8469.37,2,0,2,0,20.0,40.0,1,0,0,1,40.0,0.0,0.0,0.5,1.25,0.5,30.0,25.38,MEDIUM,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000111,Nancy,Hopkins,Saudi Arabia,Premium,1,1198.43,3,2,1,2,60.0,60.0,2,1,0,1,60.0,2.0,2.0,2.0,37.5,1.0,30.0,44.25,MEDIUM,NORMAL_CUSTOMER,REPEATED_PAYMENT_FAILURES
C000113,Vincent,Lane,Other,Standard,1,3974.09,2,1,1,1,35.0,35.0,0,0,0,0,35.0,1.0,1.0,0.0,16.25,0.0,0.0,18.88,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000114,Guy,Collins,United States,Standard,1,3205.08,1,0,1,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000115,Rita,Mcclain,Pakistan,Standard,2,2002.86,5,3,2,3,50.0,65.0,2,1,0,1,65.0,1.5,1.5,1.0,26.88,0.5,30.0,43.06,MEDIUM,NORMAL_CUSTOMER,REPEATED_PAYMENT_FAILURES
C000116,Monica,Flores,Other,Standard,4,13661.22,7,3,4,3,33.75,65.0,3,1,0,2,65.0,0.75,0.75,0.75,14.06,0.5,59.0,47.92,MEDIUM,NORMAL_CUSTOMER,PERSISTENT_BEHAVIOR | REPEATED_PAYMENT_FAILURES | MULTIPLE_PROBLEMATIC_JOURNEYS
C000117,Kenneth,Lee,United States,Premium,2,9096.21,2,0,2,0,22.5,45.0,1,0,0,1,45.0,0.0,0.0,0.5,1.25,0.5,30.0,27.38,MEDIUM,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000118,Danielle,Hill,Saudi Arabia,Premium,1,1960.71,1,0,1,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000119,Chelsea,Flores,Other,Standard,1,1975.99,1,0,1,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000120,Eric,Alexander,Pakistan,Premium,1,1215.17,1,0,1,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000121,Kathryn,Wilson,United States,Standard,2,5188.59,3,1,2,1,15.0,30.0,0,0,0,0,30.0,0.5,0.5,0.0,8.12,0.0,0.0,14.44,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000122,Amber,Hernandez,Other,Standard,1,1000.36,1,0,1,0,40.0,40.0,1,0,0,1,40.0,0.0,0.0,1.0,2.5,1.0,30.0,25.75,MEDIUM,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000123,Kimberly,Hill,United Arab Emirates,Standard,2,6724.14,2,0,2,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000124,Alyssa,Smith,Saudi Arabia,Standard,1,4389.49,1,0,1,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000125,Aaron,Dean,Saudi Arabia,Standard,2,3277.29,2,0,2,0,20.0,40.0,1,0,0,1,40.0,0.0,0.0,0.5,1.25,0.5,30.0,25.38,MEDIUM,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000126,Mario,Palmer,United Arab Emirates,Standard,2,5793.15,3,1,2,1,15.0,30.0,0,0,0,0,30.0,0.5,0.5,0.0,8.12,0.0,0.0,14.44,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000127,Andrew,Clark,United States,Standard,2,3784.95,3,1,2,1,37.5,40.0,1,0,0,1,40.0,0.5,0.5,0.5,9.38,0.5,30.0,27.81,MEDIUM,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000128,Sarah,Bell,Other,Standard,2,3218.27,6,4,2,4,65.0,65.0,4,2,0,2,65.0,2.0,2.0,2.0,37.5,1.0,79.0,60.95,HIGH,FRICTION_PRONE_CUSTOMER,PERSISTENT_BEHAVIOR | REPEATED_PAYMENT_FAILURES | MULTIPLE_PROBLEMATIC_JOURNEYS
C000129,Natasha,Flores,Saudi Arabia,Standard,4,14637.69,4,0,4,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000130,Marie,Thomas,Pakistan,Standard,3,6434.57,3,0,3,0,13.33,40.0,1,0,0,1,40.0,0.0,0.0,0.33,0.83,0.33,30.0,25.25,MEDIUM,LOYAL_LOW_FRICTION_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000131,Kyle,Bush,United Arab Emirates,Standard,2,3600.31,4,2,2,2,50.0,100.0,3,1,1,1,100.0,1.0,1.0,1.5,20.0,0.5,30.0,55.0,HIGH,FRICTION_PRONE_CUSTOMER,HIGH_SEVERITY | REPEATED_PAYMENT_FAILURES | CRITICAL_JOURNEY
C000133,Natalie,Sanchez,Saudi Arabia,Standard,1,1787.45,2,1,1,1,70.0,70.0,1,1,0,1,70.0,1.0,1.0,1.0,18.75,1.0,30.0,42.62,MEDIUM,NORMAL_CUSTOMER,HIGH_SEVERITY
C000134,Stacey,Jones,United Arab Emirates,Premium,2,5263.18,3,1,2,1,15.0,30.0,0,0,0,0,30.0,0.5,0.5,0.0,8.12,0.0,0.0,14.44,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000135,Christopher,Austin,Other,Standard,1,2583.08,3,2,1,2,100.0,100.0,3,1,1,1,100.0,2.0,2.0,3.0,40.0,1.0,30.0,61.0,HIGH,FRICTION_PRONE_CUSTOMER,HIGH_SEVERITY | REPEATED_PAYMENT_FAILURES | CRITICAL_JOURNEY
C000137,Chad,Wallace,Pakistan,Standard,3,10341.14,3,0,3,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000138,Kathleen,Anderson,United Kingdom,Standard,2,7878.38,2,0,2,0,20.0,40.0,1,0,0,1,40.0,0.0,0.0,0.5,1.25,0.5,30.0,25.38,MEDIUM,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000139,Katie,Ruiz,United Arab Emirates,Premium,2,3050.14,3,1,2,1,17.5,35.0,0,0,0,0,35.0,0.5,0.5,0.0,8.12,0.0,0.0,16.44,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000140,David,Lowe,Other,Standard,1,3223.48,1,0,1,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000141,Thomas,Rodriguez,Other,Standard,2,4409.67,2,0,2,0,40.0,40.0,2,0,0,2,40.0,0.0,0.0,1.0,2.5,1.0,79.0,40.45,MEDIUM,NORMAL_CUSTOMER,PERSISTENT_BEHAVIOR | MULTIPLE_PROBLEMATIC_JOURNEYS
