customer_id,first_name,last_name,country,customer_segment,total_bookings,total_booking_value,average_booking_value,total_payment_attempts,total_failed_payments,total_successful_payments,total_retries,total_events,average_journey_duration,maximum_journey_duration,average_friction_score,maximum_friction_score,total_anomalies,critical_journeys,high_risk_journeys,customer_payment_attempts,customer_successful_payments,customer_failed_payments,customer_payment_success_rate,customer_risk_score,customer_risk_level,behavior_profile
C000126,Mario,Palmer,United Arab Emirates,Standard,2,5793.15,2896.58,3,1,2,1,17,74.92,100.9,15.0,30.0,0,0,0,3,2,1,0.67,8.0,LOW,NORMAL_CUSTOMER
C000127,Andrew,Clark,United States,Standard,2,3784.95,1892.48,3,1,2,1,16,57.2,65.83,37.5,40.0,1,0,0,3,2,1,0.67,13.0,LOW,NORMAL_CUSTOMER
C000128,Sarah,Bell,Other,Standard,2,3218.27,1609.14,6,4,2,4,26,106.48,110.07,65.0,65.0,4,0,2,6,2,4,0.33,72.0,HIGH,FRICTION_PRONE_CUSTOMER
C000129,Natasha,Flores,Saudi Arabia,Standard,4,14637.69,3659.42,4,0,4,0,28,60.66,76.68,0.0,0.0,0,0,0,4,4,0,1.0,0.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER
C000130,Marie,Thomas,Pakistan,Standard,3,6434.57,2144.86,3,0,3,0,20,57.64,67.33,13.33,40.0,1,0,0,3,3,0,1.0,5.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER
C000131,Kyle,Bush,United Arab Emirates,Standard,2,3600.31,1800.16,4,2,2,2,19,91.72,98.15,50.0,100.0,3,1,0,4,2,2,0.5,51.0,HIGH,FRICTION_PRONE_CUSTOMER
C000133,Natalie,Sanchez,Saudi Arabia,Standard,1,1787.45,1787.45,2,1,1,1,9,56.35,56.35,70.0,70.0,1,0,1,2,1,1,0.5,23.0,LOW,FRICTION_PRONE_CUSTOMER
C000134,Stacey,Jones,United Arab Emirates,Premium,2,5263.18,2631.59,3,1,2,1,17,68.59,76.58,15.0,30.0,0,0,0,3,2,1,0.67,8.0,LOW,NORMAL_CUSTOMER
C000135,Christopher,Austin,Other,Standard,1,2583.08,2583.08,3,2,1,2,12,71.33,71.33,100.0,100.0,3,1,0,3,1,2,0.33,51.0,HIGH,FRICTION_PRONE_CUSTOMER
C000137,Chad,Wallace,Pakistan,Standard,3,10341.14,3447.05,3,0,3,0,21,43.56,45.78,0.0,0.0,0,0,0,3,3,0,1.0,0.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER
C000138,Kathleen,Anderson,United Kingdom,Standard,2,7878.38,3939.19,2,0,2,0,13,55.89,56.58,20.0,40.0,1,0,0,2,2,0,1.0,5.0,LOW,NORMAL_CUSTOMER
C000139,Katie,Ruiz,United Arab Emirates,Premium,2,3050.14,1525.07,3,1,2,1,17,67.32,81.73,17.5,35.0,0,0,0,3,2,1,0.67,8.0,LOW,NORMAL_CUSTOMER
C000140,David,Lowe,Other,Standard,1,3223.48,3223.48,1,0,1,0,7,55.7,55.7,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000141,Thomas,Rodriguez,Other,Standard,2,4409.67,2204.84,2,0,2,0,12,66.66,75.35,40.0,40.0,2,0,0,2,2,0,1.0,10.0,LOW,NORMAL_CUSTOMER
C000142,Andrea,Brown,Saudi Arabia,Standard,2,4035.61,2017.8,4,2,2,2,20,67.22,86.75,30.0,30.0,0,0,0,4,2,2,0.5,16.0,LOW,FRICTION_PRONE_CUSTOMER
C000143,Joseph,Simmons,United Arab Emirates,Standard,3,11440.24,3813.41,3,0,3,0,21,64.05,70.3,0.0,0.0,0,0,0,3,3,0,1.0,0.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER
C000144,Monique,White,United Arab Emirates,Standard,3,7060.15,2353.38,5,2,3,2,26,59.32,75.23,36.67,45.0,1,0,0,5,3,2,0.6,21.0,LOW,FRICTION_PRONE_CUSTOMER
C000146,Jason,Watkins,Saudi Arabia,Premium,3,10454.89,3484.96,3,0,3,0,21,71.96,83.22,0.0,0.0,0,0,0,3,3,0,1.0,0.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER
C000147,Amber,Huff,Pakistan,Standard,2,7282.3,3641.15,3,1,2,1,16,60.28,68.65,35.0,70.0,1,0,1,3,2,1,0.67,23.0,LOW,FRICTION_PRONE_CUSTOMER
C000148,Jessica,Lyons,Pakistan,Standard,2,8844.59,4422.3,3,1,2,1,16,46.66,51.38,37.5,45.0,1,0,0,3,2,1,0.67,13.0,LOW,NORMAL_CUSTOMER
C000149,James,Jensen,Saudi Arabia,Premium,3,6067.91,2022.64,6,3,3,3,29,72.22,109.32,45.0,65.0,3,0,1,6,3,3,0.5,49.0,MEDIUM,FRICTION_PRONE_CUSTOMER
C000151,Wanda,Roth,Other,Standard,1,3678.85,3678.85,1,0,1,0,7,52.88,52.88,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000152,Debra,Marquez,Saudi Arabia,Standard,3,7375.33,2458.44,6,3,3,3,30,74.73,100.95,31.67,65.0,2,0,1,6,3,3,0.5,44.0,MEDIUM,FRICTION_PRONE_CUSTOMER
C000153,Samuel,Lambert,Saudi Arabia,Standard,1,1152.56,1152.56,1,0,1,0,7,95.95,95.95,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000154,Zachary,Ferguson,United Arab Emirates,Standard,4,14499.98,3625.0,5,1,4,1,31,42.88,54.33,8.75,35.0,0,0,0,5,4,1,0.8,8.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER
C000155,David,Beltran,Other,Standard,3,9734.09,3244.7,3,0,3,0,20,63.34,79.78,13.33,40.0,1,0,0,3,3,0,1.0,5.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER
C000156,Jeffrey,Campos,Saudi Arabia,Standard,3,7193.1,2397.7,3,0,3,0,19,73.61,88.72,30.0,45.0,2,0,0,3,3,0,1.0,10.0,LOW,NORMAL_CUSTOMER
C000157,Matthew,Owens,United Kingdom,VIP,1,4774.29,4774.29,2,1,1,1,9,73.25,73.25,75.0,75.0,1,0,1,2,1,1,0.5,23.0,LOW,FRICTION_PRONE_CUSTOMER
C000159,Jerry,Hess,Saudi Arabia,Standard,2,4576.05,2288.02,4,2,2,2,20,88.06,106.58,32.5,35.0,0,0,0,4,2,2,0.5,16.0,LOW,FRICTION_PRONE_CUSTOMER
C000160,Jeffrey,Gillespie,United Kingdom,Premium,1,2568.77,2568.77,1,0,1,0,7,96.28,96.28,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000161,Chad,Mcdonald,United Arab Emirates,Standard,2,7349.26,3674.63,3,1,2,1,16,80.96,90.65,35.0,40.0,1,0,0,3,2,1,0.67,13.0,LOW,NORMAL_CUSTOMER
C000162,Crystal,Bryant,Pakistan,Standard,4,15068.61,3767.15,4,0,4,0,27,70.89,77.5,11.25,45.0,1,0,0,4,4,0,1.0,5.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER
C000163,Jeremy,Cohen,Pakistan,Standard,2,7488.33,3744.16,2,0,2,0,14,62.88,71.87,0.0,0.0,0,0,0,2,2,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000164,Rebecca,Mckinney,Pakistan,Standard,1,4912.84,4912.84,3,2,1,2,12,101.2,101.2,100.0,100.0,3,1,0,3,1,2,0.33,51.0,HIGH,FRICTION_PRONE_CUSTOMER
C000165,Michele,Marshall,Saudi Arabia,Premium,2,5173.74,2586.87,5,3,2,3,23,45.18,47.5,47.5,65.0,2,0,1,5,2,3,0.4,44.0,MEDIUM,FRICTION_PRONE_CUSTOMER
C000166,Chad,Hall,United States,Standard,3,5352.37,1784.12,3,0,3,0,19,84.88,93.48,28.33,45.0,2,0,0,3,3,0,1.0,10.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER
C000167,John,Walker,United Arab Emirates,Standard,1,1583.2,1583.2,1,0,1,0,7,55.88,55.88,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000171,Selena,Myers,United Kingdom,Premium,2,6936.26,3468.13,2,0,2,0,13,73.32,89.33,20.0,40.0,1,0,0,2,2,0,1.0,5.0,LOW,NORMAL_CUSTOMER
C000172,Ashley,Lyons,Saudi Arabia,VIP,3,11551.03,3850.34,3,0,3,0,20,56.74,73.58,13.33,40.0,1,0,0,3,3,0,1.0,5.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER
C000173,Thomas,Ortega,Pakistan,Standard,1,1193.9,1193.9,1,0,1,0,7,56.52,56.52,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000174,Kristen,Mccormick,Saudi Arabia,Standard,1,2475.51,2475.51,1,0,1,0,7,50.78,50.78,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000175,Lindsey,Khan,Pakistan,Standard,1,1732.86,1732.86,1,0,1,0,7,40.35,40.35,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000176,James,Chavez,Saudi Arabia,Premium,2,7623.12,3811.56,2,0,2,0,14,48.1,52.42,0.0,0.0,0,0,0,2,2,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000177,Collin,Johnson,United Kingdom,Standard,1,1545.34,1545.34,1,0,1,0,7,44.98,44.98,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
